Country,Year,BEV Percentage (Total Number Of Registrations),GDP,CPI,EG,Recharging Points,AC Recharging Speed (km/h),DC Recharging Speed (km/h),Available,Battery Capacity,Real Range,Purchase price (EUR)
Portugal,2021,9.04,"216,493.70",1.265657190690413,1.4,14024.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Portugal,2022,11.39,"243,957.10",7.832691242333217,3.7,21369.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Portugal,2023,18.21,"270,352.60",4.311281918986795,2.0,29059.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Portugal,2024,20.06,"289,428.00",2.416131877918763,0.7,41495.0,,,,,,
Portugal,2025,23.26,,2.336016203166993,,,,,,,,
Romania,2020,2.25,"1,063,650.70",2.631073111847455,-2.1,1216.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Romania,2021,5.26,"1,186,015.40",5.052328760965817,0.8,3072.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Romania,2022,8.94,"1,384,597.80",13.79548874325207,0.7,5391.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Romania,2023,10.53,"1,590,749.40",10.39718747649961,-1.2,9688.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Romania,2024,6.49,"1,759,183.30",5.721405743544354,1.6,15449.0,,,,,,
Romania,2025,5.59,,,,,,,,,,
Slovakia,2020,1.19,"94,320.60",1.936941266942209,-1.9,1397.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Slovakia,2021,1.5,"101,891.60",3.149606299212675,-0.6,4520.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Slovakia,2022,1.91,"109,959.80",12.774146363761,1.8,7088.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Slovakia,2023,2.86,"123,538.70",10.53194766452113,0.3,8631.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Slovakia,2024,2.34,"130,207.50",2.757609094242728,-0.2,11351.0,,,,,,
Slovakia,2025,4.56,,4.000428234958305,,,,,,,,
Slovenia,2020,3.12,"46,738.70",-0.0548568157606016,-0.7,1657.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Slovenia,2021,3.13,"52,032.40",1.917065060892635,1.3,4082.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Slovenia,2022,5.0,"56,881.60",8.833698867494546,2.9,5394.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Slovenia,2023,8.86,"64,050.00",7.446877173858359,1.5,6480.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Slovenia,2024,5.98,"67,418.10",1.965626564325074,0.5,7796.0,,,,,,
Slovenia,2025,10.6,,2.37284807226555,,,,,,,,
Spain,2020,2.14,"1,129,214.00",-0.3227530172996851,-4.4,16690.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Spain,2021,2.82,"1,235,474.00",3.093135119764123,2.6,28083.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Spain,2022,3.86,"1,375,863.00",8.390576341186343,3.8,60115.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Spain,2023,5.78,"1,497,761.00",3.532361334924285,3.3,108528.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Spain,2024,5.79,"1,594,330.00",2.774178265347752,2.3,138911.0,,,,,,
Spain,2025,9.19,,2.673066515605895,,,,,,,,
Sweden,2020,9.55,"5,012,855.00",0.497367318853587,-1.3,47680.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Sweden,2021,19.09,"5,417,760.00",2.163197364471508,1.3,70537.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Sweden,2022,32.84,"5,816,415.00",8.36929098869185,3.5,83510.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Sweden,2023,38.42,"6,143,187.00",8.54862489748906,1.2,126758.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Sweden,2024,34.99,"6,379,843.00",2.835816582240299,-0.3,189977.0,,,,,,
Sweden,2025,36.58,,0.6798692852440064,,,,,,,,
