Country,Year,BEV Percentage (Total Number Of Registrations),GDP,CPI,EG,Recharging Points,AC Recharging Speed (km/h),DC Recharging Speed (km/h),Available,Battery Capacity,Real Range,Purchase price (EUR),Log_BEV Percentage (Total Number Of Registrations),Log_Recharging Points,Log_GDP,Log_CPI,Log_EG,Log_Available,Log_AC Recharging Speed (km/h)
Hungary,2021,3.54,55560466.0,5.1109653438286,2.4,7398.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,1.5129270120532565,8.90910013492555,17.832982481142665,1.8100847547837209,1.2237754316221157,5.1298987149230735,3.7353895882770836
Hungary,2022,4.22,65950424.0,14.60814394924331,1.6,12637.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,1.6524974018945473,9.444463427333401,18.0044138813828,2.7477928260642432,0.9555114450274363,5.537334267018537,3.918299562862077
Hungary,2023,5.66,75292668.0,17.12496596787367,0.7,13285.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,1.8961194845522977,9.494466128225186,18.136893330792883,2.8972903231044196,0.5306282510621704,5.918893854273146,4.267004208104314
Hungary,2024,7.04,81447664.0,3.703703703703673,,15603.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,2.0844290831908747,9.655282570626547,18.21547122470698,1.5483502204542556,,6.314133279515715,4.534493983900053
Hungary,2025,8.36,88105816.2403927,4.41198445905565,0.0,18325.45043281897,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,2.2364452904895007,9.816100674117513,18.29404911869693,1.688615838733031,0.0,6.709659968072142,4.802766936988945
Ireland,2020,4.46,381728.7,-0.3261836512800592,-2.5,3900.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,1.6974487897568136,8.268988209506656,12.852468045504567,-0.3947976848431578,,4.584967478670572,3.696979093414722
Ireland,2021,8.32,448445.1,2.340341134470464,6.6,3693.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,2.2321626286975,8.214465160759186,13.013543774886637,1.2060729378420771,2.028148247292285,5.1298987149230735,3.7353895882770836
Ireland,2022,14.91,520718.4,7.82945736434107,6.9,6207.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,2.7669478423496954,8.733594061863055,13.162966595994876,2.178093559085508,2.066862759472976,5.537334267018537,3.918299562862077
Ireland,2023,18.77,524728.8,6.299424874191223,3.5,10475.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,2.9841656371825254,9.256842205627603,13.170638742420746,1.9877955606933282,1.5040773967762742,5.918893854273146,4.267004208104314
Ireland,2024,14.39,562794.2,2.113449995773188,2.7,12933.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,2.733717947850788,9.467614782006539,13.240671075401352,1.1357314347463447,1.308332819650179,6.314133279515715,4.534493983900053
Ireland,2025,18.89,603620.9782151083,2.210447884758571,2.082857142857143,15967.779379474941,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,2.9902170928658807,9.678390806194987,13.310703417100125,1.1664104553709753,1.1258568107746754,6.709659968072142,4.802766936988945
Italy,2020,2.35,1670011.9,-0.1377075739165006,-2.0,37379.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,1.208960345836975,10.528891081009554,14.328341908914002,-0.14816082445162487,,4.584967478670572,3.696979093414722
Italy,2021,4.62,1842507.4,1.87378325762482,1.0,72042.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,1.7263316639055997,11.185018441954195,14.426638462058303,1.0556293699294874,0.6931471805599453,5.1298987149230735,3.7353895882770836
Italy,2022,3.75,1998072.6,8.201289911617138,1.9,104936.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,1.55814461804655,11.561115449067628,14.507694074349013,2.2193436820112735,1.0647107369924282,5.537334267018537,3.918299562862077
Italy,2023,4.23,2142601.7,5.622194421959058,2.1,152565.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,1.6544112780768316,11.935352568289618,14.577531862961019,1.8904267986999563,1.1314021114911006,5.918893854273146,4.267004208104314
Italy,2024,4.25,2199619.4,0.9823730230613804,1.6,203138.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,1.6582280766035324,12.221645752767976,14.60379535798632,0.6842946235784879,0.9555114450274363,6.314133279515715,4.534493983900053
Italy,2025,6.18,2258154.4226611783,1.531668276528218,1.2190476190476192,270475.18791334843,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,1.9712993830601329,12.507939343498615,14.630058853325224,0.928878483269438,0.7970781034081772,6.709659968072142,4.802766936988945
Latvia,2020,2.14,29224.3,0.2190649048421137,-0.7,744.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,1.144222799920162,6.61338421837956,10.282790051471501,0.19808409341485841,-1.203972804325936,4.584967478670572,3.696979093414722
Latvia,2021,2.94,32283.8,3.275829374311562,-1.3,1223.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,1.3711807233098425,7.1098794630722715,10.38235181021406,1.452978089258969,,5.1298987149230735,3.7353895882770836
Latvia,2022,6.38,36088.7,17.3102830198815,0.2,1816.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,1.998773638612381,7.504942068396171,10.49376278505033,2.9074628156877402,0.18232155679395465,5.537334267018537,3.918299562862077
Latvia,2023,9.48,39564.2,8.938046233166386,1.8,2034.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,2.349468678892896,7.618251097876695,10.585705223003346,2.2963704453293383,1.0296194171811581,5.918893854273146,4.267004208104314
Latvia,2024,7.52,40359.4,1.265798858287292,-1.5,3751.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,2.1424163408412245,8.230044310126114,10.60560438522121,0.8179273935676777,,6.314133279515715,4.534493983900053
Latvia,2025,7.05,41170.5827075993,3.745773167519397,1.25,6917.404621435595,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,2.0856720914304723,8.841940475996575,10.625503557250662,1.5572543624169761,0.8109302162163288,6.709659968072142,4.802766936988945
Lithuania,2020,1.13,50264.6,1.199894449835678,-1.6,468.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,0.7561219797213337,6.150602768446279,10.825076225503581,0.7884093818659014,,4.584967478670572,3.696979093414722
Lithuania,2021,3.61,56709.1,4.683544209034547,1.3,503.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,1.528227857008557,6.222576268071369,10.945707604363951,1.7375750186020238,0.832909122935104,5.1298987149230735,3.7353895882770836
Lithuania,2022,5.16,67081.1,19.70504615183938,5.0,1066.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,1.8180767775454285,6.9726062513017535,11.113672521350525,3.0303774460140938,1.791759469228055,5.537334267018537,3.918299562862077
